Model,Accuracy,F1_macro,F1_weighted,AUC_macro
transformer,0.437125748502994,0.39618461318205406,0.39835495708059526,0.6307255217683156
lstm,0.40718562874251496,0.3401948913106152,0.34038824271539947,0.47936182361661944
