stock,model,model_display,regime,regime_name,n_samples,accuracy,f1_macro
HK.00939,transformer,Transformer,2,高波动期(>P90),3987,27.74,24.69
HK.00939,pv_transformer,PV-Transformer,0,平稳期(<P50),19868,16.13,14.56
HK.00939,pv_transformer,PV-Transformer,1,正常期(P50-P90),15947,12.7,12.77
HK.00939,pv_transformer,PV-Transformer,2,高波动期(>P90),3987,13.49,14.48
HK.00939,xgboost,XGBoost,0,平稳期(<P50),19868,84.43,32.32
HK.00939,xgboost,XGBoost,1,正常期(P50-P90),15947,79.95,32.6
HK.00939,xgboost,XGBoost,2,高波动期(>P90),3987,68.87,31.92
HK.01299,lstm,LSTM,0,平稳期(<P50),19840,49.73,32.66
HK.01299,lstm,LSTM,1,正常期(P50-P90),15894,17.81,17.64
HK.01299,lstm,LSTM,2,高波动期(>P90),3978,10.33,10.83
HK.01299,cnn_lstm,CNN-LSTM,0,平稳期(<P50),19840,43.34,30.98
HK.01299,cnn_lstm,CNN-LSTM,1,正常期(P50-P90),15894,20.96,19.33
HK.01299,cnn_lstm,CNN-LSTM,2,高波动期(>P90),3978,12.09,12.77
HK.01299,transformer,Transformer,0,平稳期(<P50),19840,22.94,22.43
HK.01299,transformer,Transformer,1,正常期(P50-P90),15894,13.65,14.43
HK.01299,transformer,Transformer,2,高波动期(>P90),3978,10.46,11.68
HK.01299,pv_transformer,PV-Transformer,0,平稳期(<P50),19840,16.32,15.94
HK.01299,pv_transformer,PV-Transformer,1,正常期(P50-P90),15894,11.88,12.67
HK.01299,pv_transformer,PV-Transformer,2,高波动期(>P90),3978,11.56,12.01
HK.01299,xgboost,XGBoost,0,平稳期(<P50),19840,32.17,27.76
HK.01299,xgboost,XGBoost,1,正常期(P50-P90),15894,33.41,26.3
HK.01299,xgboost,XGBoost,2,高波动期(>P90),3978,30.42,24.55
HK.00941,lstm,LSTM,0,平稳期(<P50),19902,53.91,31.41
HK.00941,lstm,LSTM,1,正常期(P50-P90),15934,45.88,29.36
HK.00941,lstm,LSTM,2,高波动期(>P90),3989,45.78,32.76
HK.00941,cnn_lstm,CNN-LSTM,0,平稳期(<P50),19902,47.56,30.19
HK.00941,cnn_lstm,CNN-LSTM,1,正常期(P50-P90),15934,47.18,30.87
HK.00941,cnn_lstm,CNN-LSTM,2,高波动期(>P90),3989,37.6,29.74
HK.00941,transformer,Transformer,0,平稳期(<P50),19902,30.84,23.72
HK.00941,transformer,Transformer,1,正常期(P50-P90),15934,30.48,23.14
HK.00941,transformer,Transformer,2,高波动期(>P90),3989,32.01,24.49
HK.00941,pv_transformer,PV-Transformer,0,平稳期(<P50),19902,14.79,14.81
HK.00941,pv_transformer,PV-Transformer,1,正常期(P50-P90),15934,14.84,15.22
HK.00941,pv_transformer,PV-Transformer,2,高波动期(>P90),3989,15.99,16.18
HK.00941,xgboost,XGBoost,0,平稳期(<P50),19902,14.02,14.14
HK.00941,xgboost,XGBoost,1,正常期(P50-P90),15934,15.21,15.31
HK.00941,xgboost,XGBoost,2,高波动期(>P90),3989,17.12,17.17
HK.03690,lstm,LSTM,0,平稳期(<P50),19909,53.51,32.49
HK.03690,lstm,LSTM,1,正常期(P50-P90),15972,29.14,24.02
HK.03690,lstm,LSTM,2,高波动期(>P90),3994,17.25,17.76
HK.03690,cnn_lstm,CNN-LSTM,0,平稳期(<P50),19909,42.52,31.41
HK.03690,cnn_lstm,CNN-LSTM,1,正常期(P50-P90),15972,23.64,21.34
HK.03690,cnn_lstm,CNN-LSTM,2,高波动期(>P90),3994,14.1,13.64
HK.03690,transformer,Transformer,0,平稳期(<P50),19909,40.27,29.7
HK.03690,transformer,Transformer,1,正常期(P50-P90),15972,23.99,21.45
HK.03690,transformer,Transformer,2,高波动期(>P90),3994,19.08,18.86
HK.03690,pv_transformer,PV-Transformer,0,平稳期(<P50),19909,34.21,28.08
HK.03690,pv_transformer,PV-Transformer,1,正常期(P50-P90),15972,22.56,20.52
HK.03690,pv_transformer,PV-Transformer,2,高波动期(>P90),3994,15.97,16.42
HK.03690,xgboost,XGBoost,0,平稳期(<P50),19909,28.06,25.61
HK.03690,xgboost,XGBoost,1,正常期(P50-P90),15972,28.38,24.09
HK.03690,xgboost,XGBoost,2,高波动期(>P90),3994,31.25,27.06
HK.01211,lstm,LSTM,0,平稳期(<P50),19918,54.24,32.82
HK.01211,lstm,LSTM,1,正常期(P50-P90),15961,30.83,24.61
HK.01211,lstm,LSTM,2,高波动期(>P90),3994,15.72,15.51
HK.01211,cnn_lstm,CNN-LSTM,0,平稳期(<P50),19918,55.49,33.07
