股票代码,股票名称,行业,下跌%,中性%,上涨%,随机基线F1
HK.00700,腾讯控股,科技,0.08831048872614512,0.823346033945272,0.08834347732858297,0.3333237192270846
HK.00005,汇丰控股,金融,0.03501682390974467,0.9226430032328297,0.04234017285742561,0.33342394846708884
HK.09988,阿里巴巴,科技,0.1422091738277062,0.7164888089857989,0.1413020171864949,0.3334057063686797
HK.01810,小米集团,科技,0.13902358568365494,0.7271977568860301,0.13377865743031503,0.3333374810220038
HK.00939,建设银行,金融,0.08165655099617364,0.8335532392136166,0.08479020979020979,0.3334506778228674
HK.01299,友邦保险,金融,0.09737271782692593,0.805881285768476,0.09674599640459816,0.33332224544335715
HK.00941,中国移动,通信,0.0243592703763565,0.9483952897714154,0.02724543985222812,0.33335074889257615
HK.03690,美团,科技,0.1533298149553056,0.6978922716627635,0.14877791338193094,0.3334089326912452
HK.01211,比亚迪,汽车,0.14053171487944058,0.7223010192301349,0.13716726589042452,0.3333362059386005
HK.00388,香港交易所,金融,0.07881716528680278,0.8411122472540159,0.08007058745918132,0.3333200753797311
