model,total_samples,non_neutral_preds,coverage,binary_f1,binary_accuracy,true_up_in_filtered,true_down_in_filtered,true_neutral_in_filtered,f1_3class
CNN-LSTM,60627,50425,0.8317251389644877,0.16563658838071693,0.451165096678235,4768,4775,40882,0.20448083305815634
LSTM,60627,55528,0.9158955580846817,0.16032473628983265,0.45238438265379627,5133,5167,45228,0.1614091251019352
GRU,60627,54741,0.9029145430253848,0.16564158224794984,0.49445570961436586,5062,5151,44528,0.1688354194157394
Transformer,60627,55594,0.9169841819651311,0.16436413428857863,0.3852753894305141,5144,5169,45281,0.16044297219635864
XGBoost,60627,33458,0.5518663301829217,0.14883079430756693,0.5942076633391117,3014,2968,27476,0.28446040958310886
RandomForest,60627,4504,0.07429033269005558,0.0,0.8809946714031972,532,569,3403,0.3309258950321366
LogisticRegression,60627,32359,0.533739093143319,0.13914317099963383,0.6367316666151611,2852,2863,26644,0.2833703954953481
