model,stock,cost_label,cost_rate,return_pct,max_dd_pct,total_trades,total_winrate
cnn_lstm,HK.00941,0.03%,0.0003,-54.07,54.23,1337,42.6
cnn_lstm,HK.00941,0.05%,0.0005,-73.1,73.15,1337,42.6
cnn_lstm,HK.00941,0.10%,0.001,-92.94,92.94,1337,42.6
cnn_lstm,HK.00941,0.15%,0.0015,-98.15,98.15,1337,42.6
cnn_lstm,HK.03690,0%(基准),0.0,28.96,17.78,1431,50.7
cnn_lstm,HK.03690,0.03%,0.0003,-45.36,47.19,1431,50.7
cnn_lstm,HK.03690,0.05%,0.0005,-69.18,69.5,1431,50.7
cnn_lstm,HK.03690,0.10%,0.001,-92.64,92.63,1431,50.7
cnn_lstm,HK.03690,0.15%,0.0015,-98.24,98.24,1431,50.7
cnn_lstm,HK.01211,0%(基准),0.0,-13.08,26.38,1342,44.9
cnn_lstm,HK.01211,0.03%,0.0003,-61.15,62.98,1342,44.9
cnn_lstm,HK.01211,0.05%,0.0005,-77.3,77.9,1342,44.9
cnn_lstm,HK.01211,0.10%,0.001,-94.07,94.07,1342,44.9
cnn_lstm,HK.01211,0.15%,0.0015,-98.45,98.45,1342,44.9
cnn_lstm,HK.00388,0%(基准),0.0,4.71,11.99,1972,46.6
cnn_lstm,HK.00388,0.03%,0.0003,-67.93,68.51,1972,46.6
cnn_lstm,HK.00388,0.05%,0.0005,-85.43,85.66,1972,46.6
cnn_lstm,HK.00388,0.10%,0.001,-97.98,98.0,1972,46.6
cnn_lstm,HK.00388,0.15%,0.0015,-99.72,99.72,1972,46.6
transformer,HK.00700,0%(基准),0.0,-1.82,17.77,729,39.1
transformer,HK.00700,0.03%,0.0003,-36.61,38.36,729,39.1
transformer,HK.00700,0.05%,0.0005,-52.65,52.75,729,39.1
transformer,HK.00700,0.10%,0.001,-77.17,77.19,729,39.1
transformer,HK.00700,0.15%,0.0015,-89.0,89.0,729,39.1
transformer,HK.00005,0%(基准),0.0,24.16,5.84,682,48.1
transformer,HK.00005,0.03%,0.0003,-17.54,19.28,682,48.1
transformer,HK.00005,0.05%,0.0005,-37.23,37.7,682,48.1
transformer,HK.00005,0.10%,0.001,-68.28,68.31,682,48.1
transformer,HK.00005,0.15%,0.0015,-83.97,83.97,682,48.1
transformer,HK.09988,0%(基准),0.0,51.21,20.71,1046,48.1
transformer,HK.09988,0.03%,0.0003,-19.27,35.77,1046,48.1
transformer,HK.09988,0.05%,0.0005,-46.88,51.51,1046,48.1
transformer,HK.09988,0.10%,0.001,-81.35,81.68,1046,48.1
transformer,HK.09988,0.15%,0.0015,-93.45,93.53,1046,48.1
transformer,HK.01810,0%(基准),0.0,0.56,27.27,845,46.4
transformer,HK.01810,0.03%,0.0003,-39.44,41.97,845,46.4
transformer,HK.01810,0.05%,0.0005,-56.81,58.42,845,46.4
transformer,HK.01810,0.10%,0.001,-81.46,81.94,845,46.4
transformer,HK.01810,0.15%,0.0015,-92.04,92.2,845,46.4
transformer,HK.00939,0%(基准),0.0,0.88,12.37,709,41.5
transformer,HK.00939,0.03%,0.0003,-34.08,35.34,709,41.5
transformer,HK.00939,0.05%,0.0005,-50.36,50.72,709,41.5
transformer,HK.00939,0.10%,0.001,-75.58,75.58,709,41.5
transformer,HK.00939,0.15%,0.0015,-87.99,87.99,709,41.5
transformer,HK.01299,0%(基准),0.0,15.8,20.02,1278,46.9
transformer,HK.01299,0.03%,0.0003,-46.21,47.55,1278,46.9
transformer,HK.01299,0.05%,0.0005,-67.75,68.13,1278,46.9
transformer,HK.01299,0.10%,0.001,-91.02,91.05,1278,46.9
transformer,HK.01299,0.15%,0.0015,-97.5,97.5,1278,46.9
transformer,HK.00941,0%(基准),0.0,-3.97,11.64,489,36.2
transformer,HK.00941,0.03%,0.0003,-28.39,28.39,489,36.2
transformer,HK.00941,0.05%,0.0005,-41.12,41.12,489,36.2
transformer,HK.00941,0.10%,0.001,-63.91,63.91,489,36.2
transformer,HK.00941,0.15%,0.0015,-77.88,77.88,489,36.2
transformer,HK.03690,0%(基准),0.0,-7.45,26.45,957,48.5
transformer,HK.03690,0.03%,0.0003,-47.88,49.25,957,48.5
transformer,HK.03690,0.05%,0.0005,-64.47,64.98,957,48.5
transformer,HK.03690,0.10%,0.001,-86.36,86.36,957,48.5
transformer,HK.03690,0.15%,0.0015,-94.77,94.76,957,48.5
transformer,HK.01211,0%(基准),0.0,-15.16,20.14,1133,47.9
transformer,HK.01211,0.03%,0.0003,-57.02,58.58,1133,47.9
transformer,HK.01211,0.05%,0.0005,-72.69,73.28,1133,47.9
transformer,HK.01211,0.10%,0.001,-91.21,91.23,1133,47.9
transformer,HK.01211,0.15%,0.0015,-97.17,97.17,1133,47.9
transformer,HK.00388,0%(基准),0.0,-0.26,12.92,760,42.9
transformer,HK.00388,0.03%,0.0003,-36.79,38.43,760,42.9
transformer,HK.00388,0.05%,0.0005,-53.37,54.48,760,42.9
transformer,HK.00388,0.10%,0.001,-78.2,78.61,760,42.9
transformer,HK.00388,0.15%,0.0015,-89.82,89.95,760,42.9
lstm,HK.00700,0%(基准),0.0,-12.24,22.46,1641,39.2
lstm,HK.00700,0.03%,0.0003,-67.22,67.96,1641,39.2
lstm,HK.00700,0.05%,0.0005,-83.0,83.18,1641,39.2
lstm,HK.00700,0.10%,0.001,-96.71,96.7,1641,39.2
lstm,HK.00700,0.15%,0.0015,-99.36,99.36,1641,39.2
lstm,HK.00005,0%(基准),0.0,-14.27,19.25,1348,35.6
lstm,HK.00005,0.03%,0.0003,-61.82,62.31,1348,35.6
lstm,HK.00005,0.05%,0.0005,-77.74,77.78,1348,35.6
lstm,HK.00005,0.10%,0.001,-94.22,94.22,1348,35.6
lstm,HK.00005,0.15%,0.0015,-98.5,98.5,1348,35.6
lstm,HK.09988,0%(基准),0.0,-10.31,18.51,1170,50.7
lstm,HK.09988,0.03%,0.0003,-55.56,56.97,1170,50.7
lstm,HK.09988,0.05%,0.0005,-72.17,72.47,1170,50.7
lstm,HK.09988,0.10%,0.001,-91.37,91.42,1170,50.7
lstm,HK.09988,0.15%,0.0015,-97.33,97.33,1170,50.7
lstm,HK.01810,0%(基准),0.0,31.7,11.92,1148,47.0
lstm,HK.01810,0.03%,0.0003,-33.87,36.46,1148,47.0
lstm,HK.01810,0.05%,0.0005,-58.22,59.39,1148,47.0
lstm,HK.01810,0.10%,0.001,-86.76,86.93,1148,47.0
lstm,HK.01810,0.15%,0.0015,-95.8,95.81,1148,47.0
lstm,HK.00939,0%(基准),0.0,120.68,3.38,1597,47.3
lstm,HK.00939,0.03%,0.0003,-15.35,21.44,1597,47.3
lstm,HK.00939,0.05%,0.0005,-55.31,55.79,1597,47.3
lstm,HK.00939,0.10%,0.001,-90.96,91.0,1597,47.3
lstm,HK.00939,0.15%,0.0015,-98.17,98.17,1597,47.3
lstm,HK.01299,0%(基准),0.0,37.13,9.31,1566,54.0
lstm,HK.01299,0.03%,0.0003,-46.42,48.83,1566,54.0
lstm,HK.01299,0.05%,0.0005,-71.36,72.52,1566,54.0
lstm,HK.01299,0.10%,0.001,-94.02,94.21,1566,54.0
lstm,HK.01299,0.15%,0.0015,-98.75,98.79,1566,54.0
lstm,HK.00941,0%(基准),0.0,-0.68,4.81,1392,36.7
lstm,HK.00941,0.03%,0.0003,-56.92,56.95,1392,36.7
lstm,HK.00941,0.05%,0.0005,-75.32,75.33,1392,36.7
lstm,HK.00941,0.10%,0.001,-93.87,93.87,1392,36.7
lstm,HK.00941,0.15%,0.0015,-98.48,98.48,1392,36.7
lstm,HK.03690,0%(基准),0.0,2.97,18.75,1385,53.6
lstm,HK.03690,0.03%,0.0003,-55.15,55.73,1385,53.6
lstm,HK.03690,0.05%,0.0005,-74.23,74.43,1385,53.6
lstm,HK.03690,0.10%,0.001,-93.56,93.57,1385,53.6
lstm,HK.03690,0.15%,0.0015,-98.39,98.39,1385,53.6
lstm,HK.01211,0%(基准),0.0,31.67,12.06,1342,44.3
lstm,HK.01211,0.03%,0.0003,-41.15,43.42,1342,44.3
lstm,HK.01211,0.05%,0.0005,-65.6,66.02,1342,44.3
lstm,HK.01211,0.10%,0.001,-91.02,91.12,1342,44.3
lstm,HK.01211,0.15%,0.0015,-97.66,97.68,1342,44.3
lstm,HK.00388,0%(基准),0.0,3.09,16.04,2112,49.3
lstm,HK.00388,0.03%,0.0003,-70.98,71.74,2112,49.3
lstm,HK.00388,0.05%,0.0005,-87.53,87.83,2112,49.3
lstm,HK.00388,0.10%,0.001,-98.49,98.52,2112,49.3
lstm,HK.00388,0.15%,0.0015,-99.82,99.82,2112,49.3
