model,topk,n_samples,accuracy,f1_macro,avg_confidence,股票代码,股票名称,随机基线F1
CNN-LSTM,100%（全量）,60627,0.22823164596631865,0.20448083305815634,0.43234774470329285,HK.00700,腾讯控股,0.3333237192270846
CNN-LSTM,Top-10%,6062,0.22764764104256022,0.22001749190559772,0.5683613419532776,HK.00700,腾讯控股,0.3333237192270846
CNN-LSTM,Top-20%,12125,0.22061855670103092,0.21420105738170123,0.5315976142883301,HK.00700,腾讯控股,0.3333237192270846
CNN-LSTM,Top-30%,18188,0.21739608533098748,0.20992344517527795,0.5091397166252136,HK.00700,腾讯控股,0.3333237192270846
CNN-LSTM,Top-10%（margin）,6062,0.24315407456285054,0.22957447920766608,0.3067012429237366,HK.00700,腾讯控股,0.3333237192270846
CNN-LSTM,Top-20%（margin）,12125,0.23661855670103094,0.22129128553060382,0.2499903291463852,HK.00700,腾讯控股,0.3333237192270846
CNN-LSTM,Top-30%（margin）,18188,0.23537497250934683,0.21778473333377776,0.21535466611385345,HK.00700,腾讯控股,0.3333237192270846
LSTM,100%（全量）,60627,0.16317812195886322,0.1614091251019352,0.40657931566238403,HK.00700,腾讯控股,0.3333237192270846
LSTM,Top-10%,6062,0.26344440778620914,0.2561855460167273,0.5171586871147156,HK.00700,腾讯控股,0.3333237192270846
LSTM,Top-20%,12125,0.230680412371134,0.22928598616355853,0.4820629954338074,HK.00700,腾讯控股,0.3333237192270846
LSTM,Top-30%,18188,0.20425555311194193,0.20524758998294723,0.46347469091415405,HK.00700,腾讯控股,0.3333237192270846
LSTM,Top-10%（margin）,6062,0.3399868030353019,0.3084531074721519,0.21263271570205688,HK.00700,腾讯控股,0.3333237192270846
LSTM,Top-20%（margin）,12125,0.27175257731958763,0.2553446733982084,0.16105036437511444,HK.00700,腾讯控股,0.3333237192270846
LSTM,Top-30%（margin）,18188,0.23202111282164065,0.2210873383007984,0.13466723263263702,HK.00700,腾讯控股,0.3333237192270846
GRU,100%（全量）,60627,0.17355303742556946,0.1688354194157394,0.40059012174606323,HK.00700,腾讯控股,0.3333237192270846
GRU,Top-10%,6062,0.27301220719234576,0.2627881708966484,0.49040931463241577,HK.00700,腾讯控股,0.3333237192270846
GRU,Top-20%,12125,0.23744329896907215,0.23609974412901072,0.464000940322876,HK.00700,腾讯控股,0.3333237192270846
GRU,Top-30%,18188,0.21035847811744007,0.21055492939848008,0.4490179121494293,HK.00700,腾讯控股,0.3333237192270846
GRU,Top-10%（margin）,6062,0.33883206862421644,0.30010367713996544,0.1694052368402481,HK.00700,腾讯控股,0.3333237192270846
GRU,Top-20%（margin）,12125,0.2785154639175258,0.2558932483615792,0.13289321959018707,HK.00700,腾讯控股,0.3333237192270846
GRU,Top-30%（margin）,18188,0.24389707499450186,0.2286936212803468,0.11268419772386551,HK.00700,腾讯控股,0.3333237192270846
Transformer,100%（全量）,60627,0.1628812245369225,0.16044297219635864,0.43676337599754333,HK.00700,腾讯控股,0.3333237192270846
Transformer,Top-10%,6062,0.23210161662817552,0.19846348327449168,0.5456929802894592,HK.00700,腾讯控股,0.3333237192270846
Transformer,Top-20%,12125,0.20569072164948454,0.18882401380172606,0.5185931324958801,HK.00700,腾讯控股,0.3333237192270846
Transformer,Top-30%,18188,0.18847591818781614,0.180578784140404,0.5013368129730225,HK.00700,腾讯控股,0.3333237192270846
