股票代码,股票名称,行业,Top1类别,Top1_SHAP,Top2类别,Top2_SHAP,TI类合计SHAP
HK.00700,腾讯控股,科技,技术指标,0.23631531032980108,价格动量,0.2233768055614308,0.21368504205279676
HK.00005,汇丰控股,金融,技术指标,0.2825856851863125,成交不平衡,0.22542349637902048,0.22542349637902048
HK.09988,阿里巴巴,科技,技术指标,0.2302475245987366,价格动量,0.2211819055417107,0.1722932199279099
HK.01810,小米集团,科技,成交不平衡,0.22717112837707315,技术指标,0.2062894424283224,0.22717112837707315
HK.00939,建设银行,金融,成交不平衡,0.2592825333100867,技术指标,0.25533005050128443,0.2592825333100867
HK.01299,友邦保险,金融,价格动量,0.2252798493209927,成交不平衡,0.21969718963310286,0.21969718963310286
HK.00941,中国移动,通信,技术指标,0.28016639359294504,成交不平衡,0.25913211491663374,0.25913211491663374
HK.03690,美团,科技,技术指标,0.32822415265828736,价格动量,0.18764113551311323,0.129076239303294
HK.01211,比亚迪,汽车,价格动量,0.24144490373370167,成交不平衡,0.2124807908151883,0.2124807908151883
HK.00388,香港交易所,金融,价格动量,0.24243949126558548,技术指标,0.21166981123579465,0.2087044186042176
指标,值
跨股票Spearman秩相关均值,0.683
跨股票Spearman秩相关范围,"[0.294, 0.940]"
TI类Top-1股票数,2/10
TI类Top-2股票数,6/10
