模型,Acc_mean,Acc_std,F1_mean,F1_std,AUC_mean,AUC_std,n_stocks
CNN-LSTM,0.4806550582371717,0.15544193500801595,0.32467250064345515,0.07547847127245576,0.6239577189275821,0.0308950573326958,10
LSTM,0.4829340994510577,0.16732205470553502,0.32092800573828406,0.08096909091948294,0.6261956606644946,0.027271467856653204,10
GRU,0.4835803144366789,0.1811718506355978,0.32029681882118705,0.09151107558918488,0.6300387990903231,0.028428327963103305,10
Transformer,0.434803040456705,0.18040958130648524,0.29892559441656874,0.08678227332685137,0.6145535259637055,0.03664559104875676,10
PV-Transformer,0.41733809201359373,0.17038049995802637,0.2962377186164113,0.0876337328613532,0.622449227102801,0.035513965106882456,10
XGBoost,0.3317865757241994,0.20357428654663495,0.2291220260696578,0.07128008217282977,0.49743855037662676,0.00733617485028615,10
LogisticRegression,0.3254355122263951,0.21989007811547376,0.22220588675567776,0.08186402855437071,0.4977330294510146,0.0031185569214642276,10
RandomForest,0.353599982868652,0.32573969560483307,0.17633893988511767,0.10887335505568704,0.498227457406915,0.017075355320965067,10
