股票代码,股票名称,行业,特征,特征类别,XGBoost_SHAP,CNN_LSTM_SHAP,平均SHAP
HK.00700,腾讯控股,科技,kline_position,K线形态,0.046301629566612275,0.056511956296145124,0.0514067929313787
HK.00700,腾讯控股,科技,range_pct,K线形态,0.06315177819521096,0.043038045948582335,0.05309491207189665
HK.00700,腾讯控股,科技,return_1,价格动量,0.054189212263801606,0.02740715466229449,0.040798183463048046
HK.00700,腾讯控股,科技,return_5,价格动量,0.046557531801514465,0.03037918742792062,0.03846835961471754
HK.00700,腾讯控股,科技,return_20,价格动量,0.031780889982983576,0.08064853718539013,0.05621471358418685
HK.00700,腾讯控股,科技,return_60,价格动量,0.021043936971468277,0.030625098411266025,0.025834517691367152
HK.00700,腾讯控股,科技,return_zscore,价格动量,0.08123172906815682,0.04289033334806559,0.062061031208111204
HK.00700,腾讯控股,科技,atr_pct,波动率,0.028561414179043607,0.03612288825655357,0.032342151217798584
HK.00700,腾讯控股,科技,volatility_20,波动率,0.035501216335549694,0.01943164655589871,0.0274664314457242
HK.00700,腾讯控股,科技,ti,成交不平衡,0.05926979594348387,0.049042610456444743,0.05415620319996431
HK.00700,腾讯控股,科技,ti_5,成交不平衡,0.07056593747565407,0.05005076763702645,0.06030835255634026
HK.00700,腾讯控股,科技,ti_60,成交不平衡,0.026419378571576304,0.08170853435613508,0.05406395646385569
HK.00700,腾讯控股,科技,ti_zscore,成交不平衡,0.019798171288746263,0.07051488837652675,0.04515652983263651
HK.00700,腾讯控股,科技,relative_volume,成交量,0.05516067822704871,0.10412505210198857,0.07964286516451864
HK.00700,腾讯控股,科技,volume_change,成交量,0.042833067166229054,0.020816641590275457,0.031824854378252256
HK.00700,腾讯控股,科技,pv_corr,成交量,0.05553083502041438,0.012972610693723331,0.03425172285706886
HK.00700,腾讯控股,科技,rsi,技术指标,0.03038583319453593,0.018414459855875184,0.024400146525205557
HK.00700,腾讯控股,科技,bb_position,技术指标,0.07928880940855328,0.04059126472053767,0.059940037064545475
HK.00700,腾讯控股,科技,macd_dif,技术指标,0.10634136414409893,0.11826378712101371,0.11230257563255633
HK.00700,腾讯控股,科技,macd_dea,技术指标,0.0,0.0,0.0
HK.00700,腾讯控股,科技,macd,技术指标,0.04592977267882602,0.0334153295361614,0.03967255110749371
HK.00700,腾讯控股,科技,market_regime,市场状态,0.0001570185164919308,0.033029205462175144,0.016593111989333536
HK.00005,汇丰控股,金融,kline_position,K线形态,0.01961017956984795,0.04327375137357189,0.031441965471709916
HK.00005,汇丰控股,金融,range_pct,K线形态,0.034512287550025104,0.048122669814791096,0.0413174786824081
HK.00005,汇丰控股,金融,return_1,价格动量,0.014732905664993001,0.023093108645653476,0.01891300715532324
HK.00005,汇丰控股,金融,return_5,价格动量,0.029432322200752793,0.022016512155683125,0.02572441717821796
HK.00005,汇丰控股,金融,return_20,价格动量,0.03035453094355129,0.014388345452084856,0.022371438197818075
HK.00005,汇丰控股,金融,return_60,价格动量,0.029577197976063743,0.015743279876319714,0.022660238926191727
HK.00005,汇丰控股,金融,return_zscore,价格动量,0.08329384168268565,0.06735236147224441,0.07532310157746502
HK.00005,汇丰控股,金融,atr_pct,波动率,0.06146092659016239,0.015735010219270838,0.03859796840471662
HK.00005,汇丰控股,金融,volatility_20,波动率,0.05377619416800758,0.0182275711627208,0.03600188266536419
HK.00005,汇丰控股,金融,ti,成交不平衡,0.06296299287327727,0.03247136245564417,0.04771717766446072
HK.00005,汇丰控股,金融,ti_5,成交不平衡,0.06438464413260257,0.03992296070650623,0.052153802419554404
HK.00005,汇丰控股,金融,ti_60,成交不平衡,0.03413435100687468,0.12940718125144543,0.08177076612916005
HK.00005,汇丰控股,金融,ti_zscore,成交不平衡,0.027862722685790292,0.059700777645900295,0.04378175016584529
HK.00005,汇丰控股,金融,relative_volume,成交量,0.07090512132256707,0.13400013970819333,0.1024526305153802
HK.00005,汇丰控股,金融,volume_change,成交量,0.044362423746467004,0.024792904118125514,0.03457766393229626
HK.00005,汇丰控股,金融,pv_corr,成交量,0.059158381056202816,0.013453204794012323,0.03630579292510757
HK.00005,汇丰控股,金融,rsi,技术指标,0.030850604147897195,0.02312306118487865,0.026986832666387923
HK.00005,汇丰控股,金融,bb_position,技术指标,0.0846519607064222,0.04136580874185901,0.0630088847241406
HK.00005,汇丰控股,金融,macd_dif,技术指标,0.09685856410073691,0.1454867522028241,0.1211726581517805
HK.00005,汇丰控股,金融,macd_dea,技术指标,0.0,0.0,0.0
HK.00005,汇丰控股,金融,macd,技术指标,0.06710140107411482,0.07573321821389213,0.07141730964400347
HK.00005,汇丰控股,金融,market_regime,市场状态,1.6446800957487053e-05,0.01259001880437868,0.006303232802668084
HK.09988,阿里巴巴,科技,kline_position,K线形态,0.029630596631978524,0.07566878454947458,0.05264969059072655
HK.09988,阿里巴巴,科技,range_pct,K线形态,0.06174138718056869,0.0831450066134692,0.07244319689701895
HK.09988,阿里巴巴,科技,return_1,价格动量,0.048440893949215025,0.026328396095825105,0.03738464502252006
HK.09988,阿里巴巴,科技,return_5,价格动量,0.045889651906605475,0.021226534523994645,0.03355809321530006
HK.09988,阿里巴巴,科技,return_20,价格动量,0.03886127696309891,0.03845648453888678,0.038658880750992844
HK.09988,阿里巴巴,科技,return_60,价格动量,0.034668601870626974,0.023838974396739224,0.0292537881336831
HK.09988,阿里巴巴,科技,return_zscore,价格动量,0.07212942096968177,0.09252357586874745,0.0823264984192146
HK.09988,阿里巴巴,科技,atr_pct,波动率,0.027007434647662875,0.049429349181236745,0.03821839191444981
HK.09988,阿里巴巴,科技,volatility_20,波动率,0.03642103460283712,0.014726997796903434,0.025574016199870278
HK.09988,阿里巴巴,科技,ti,成交不平衡,0.05272328931006454,0.061073018890399525,0.05689815410023204
HK.09988,阿里巴巴,科技,ti_5,成交不平衡,0.05690175734246726,0.06147299602069887,0.05918737668158307
HK.09988,阿里巴巴,科技,ti_60,成交不平衡,0.02351354454373482,0.037357888337830394,0.030435716440782606
HK.09988,阿里巴巴,科技,ti_zscore,成交不平衡,0.017102601844927196,0.03444134356569718,0.025771972705312188
HK.09988,阿里巴巴,科技,relative_volume,成交量,0.04433709003842424,0.05652351883800058,0.050430304438212406
HK.09988,阿里巴巴,科技,volume_change,成交量,0.0929271718030381,0.04133911881491604,0.06713314530897707
HK.09988,阿里巴巴,科技,pv_corr,成交量,0.0794379940660189,0.01515509246056749,0.047296543263293196
HK.09988,阿里巴巴,科技,rsi,技术指标,0.04225743806096312,0.03614086048464788,0.0391991492728055
HK.09988,阿里巴巴,科技,bb_position,技术指标,0.08237612350136873,0.05158213640724217,0.06697912995430545
HK.09988,阿里巴巴,科技,macd_dif,技术指标,0.06519716297744793,0.09729410985132005,0.08124563641438398
HK.09988,阿里巴巴,科技,macd_dea,技术指标,0.0,0.0,0.0
HK.09988,阿里巴巴,科技,macd,技术指标,0.04801996515982942,0.037627252754653895,0.04282360895724166
HK.09988,阿里巴巴,科技,market_regime,市场状态,0.00041556262944042845,0.044648560008748735,0.022532061319094583
