,股票代码,样本期,有效交易日,10秒窗口数,日均窗口数,缺失率(%),OFI非零比例(%)
0,DEMO,2024-01-01 ~ 2024-01-02,2,10000,5000.0,0.0,100.0
1,汇总,2024-01-01 ~ 2024-01-02,2,10000,5000.0,0.0,100.0
